model,n,mean_bp,sd_bp,t_stat,annualized_return,annualized_sd,annualized_sharpe,hit_rate,cum_return,max_drawdown,first_bar_mode,retrain_period,use_train_weights,position_sizing,annual_scale,long_share,avg_abs_position,max_abs_position,first_bar_trades,retrain_count
linear_minmax,14909,0.522243401936458,38.3078218656141,1.66459950020364,0.0824981670022171,0.160892851835579,0.512752220257269,0.505399423167214,0.954213622348309,0.250160352402056,next_open_close,year,FALSE,zscore_2x,1764,0.493460325977597,0.633448269497933,2,2138,10
linear_minmax_plus_hour,14909,0.539834140829055,40.5850227282874,1.62412260530686,0.0841464000951804,0.170457095458807,0.493651495519677,0.498222550137501,0.979505339716425,0.225830814827674,next_open_close,static,TRUE,zscore_2x,1764,0.480850492990811,0.670606252822584,2,2138,1
linear_minmax,14909,0.495788368540267,38.4725134339075,1.57351189808793,0.0773236734398766,0.161584556422412,0.478533810110778,0.504594540210611,0.876653510531484,0.232786381151892,next_open_close,static,FALSE,zscore_2x,1764,0.481655375947414,0.629536631700157,2,2138,1
linear_minmax,12772,0.565842776052666,41.1145399395825,1.55535595276244,0.0755820645107737,0.159871603369661,0.472767288985088,0.507751331036643,0.850529136137781,0.226701643835653,exclude,static,FALSE,zscore_2x,1512,0.524115252113999,0.646434288446549,2,0,1
linear_minmax_plus_hour,14909,0.305687854541347,25.7094323111417,1.45181057046893,0.0492890192689928,0.107979615706795,0.456465963009451,0.497954255818633,0.501764164358737,0.183771069730192,next_open_close,static,FALSE,zscore_1x,1764,0.474545576497418,0.529682288058993,1,2138,1
linear_minmax_plus_hour,14909,0.397554978180481,33.7158147560667,1.43975234444735,0.0619657726579983,0.14160642197548,0.437591542767235,0.498222550137501,0.662192263144569,0.214663849119111,next_open_close,static,TRUE,sign,1764,0.480850492990811,1,1,2138,1
linear_minmax_plus_hour,14909,0.723323623756259,56.7839212962555,1.55536215208445,0.103581074841864,0.238492469444273,0.434315913970891,0.496210342745992,1.30024191576841,0.487614903614616,close_to_open,static,FALSE,zscore_2x,1764,0.417398886578577,0.606368276149942,2,2138,1
linear_minmax_plus_hour,14909,0.389707922836722,33.7159063762988,1.41133026034463,0.0604967614323959,0.141606806780455,0.427216479262817,0.499899389630425,0.642858859738677,0.251633329895439,next_open_close,year,FALSE,sign,1764,0.481588302367697,1,1,2138,10
linear_minmax,14909,0.503209071597438,42.5120734888283,1.44530808231828,0.0756833828092398,0.178550708653079,0.423876126732666,0.505198202428064,0.852640534108543,0.259021124823758,next_open_close,static,TRUE,zscore_2x,1764,0.474411429337984,0.705568049135247,2,2138,1
linear_minmax_plus_hour,14909,0.427743535901973,37.0274742166853,1.41053421220599,0.0654057006830728,0.155515391710078,0.420573809215016,0.505600643906365,0.708251462067225,0.332120135053214,next_open_close,year,TRUE,zscore_2x,1764,0.503253068616272,0.727090853059595,2,2138,10
linear_minmax_plus_hour,12772,0.507516236985169,40.701143171596,1.40920050041483,0.0664464245263565,0.158264133014332,0.419845123849629,0.502035703100532,0.721882868659035,0.228610685523982,exclude,static,FALSE,zscore_2x,1512,0.520748512370811,0.576420444937237,2,0,1
linear_minmax_plus_hour,14909,0.409003340890007,38.392518174513,1.30078198724553,0.0610368887367552,0.161248576332955,0.37852668299361,0.499899389630425,0.649944208598598,0.227544561860041,next_open_close,year,FALSE,zscore_2x,1764,0.481588302367697,0.597124723265922,2,2138,10
linear_minmax_plus_hour,14909,0.321981490827442,33.7166212155549,1.16603374030716,0.0479027338103426,0.141609809105331,0.338272709447071,0.497954255818633,0.485077397767882,0.282073990485452,next_open_close,static,FALSE,sign,1764,0.474545576497418,1,1,2138,1
linear_minmax_plus_hour,14909,0.369393873146462,39.315389676064,1.14723228610839,0.0529881569196768,0.165124636639469,0.320897947138988,0.497954255818633,0.547102684620335,0.230957381188258,next_open_close,static,FALSE,zscore_2x,1764,0.474545576497418,0.595845315453054,2,2138,1
linear_minmax,14909,0.200035423194969,25.6181808460507,0.953416974068908,0.0299457013130318,0.107596359553413,0.278315190563358,0.506472600442686,0.283229481528089,0.212481807778633,next_open_close,year,TRUE,zscore_1x,1764,0.503051847877121,0.584986294799476,1,2138,10
linear_minmax,14909,0.263299980336243,33.7171305673808,0.953508296771191,0.0370976098213687,0.141611948382999,0.261966664853982,0.506472600442686,0.360518963626571,0.306869137266464,next_open_close,year,TRUE,sign,1764,0.503051847877121,1,1,2138,10
linear_minmax,14909,0.302728766306638,38.5408844394929,0.959083173750276,0.0411777854937012,0.16187171464587,0.254385304954523,0.506472600442686,0.406426824064118,0.35996877353035,next_open_close,year,TRUE,zscore_2x,1764,0.503051847877121,0.695798681293089,2,2138,10
benchmark_spy,14909,0.254190668865453,33.7172004768711,0.92051814389709,0.0354392986626724,0.141612242002859,0.250255897099327,0.52793614595211,0.342241550789894,0.256231030588588,next_open_close,static,FALSE,benchmark,1764,1,1,1,2138,
linear_minmax,14909,0.337240291136859,43.1603519479415,0.954066694813721,0.0439343809766639,0.181273478181354,0.242365189973957,0.50593601180495,0.438210389831561,0.328231537197269,close_to_open,year,FALSE,sign,1764,0.503990877993159,1,1,2138,10
linear_minmax,14909,0.110993058564184,31.3672484103098,0.432059594000813,0.0108882806269703,0.131742443323301,0.082648236607014,0.50593601180495,0.0958478211633955,0.321374136947845,close_to_open,year,FALSE,zscore_1x,1764,0.503990877993159,0.497581687992678,1,2138,10
benchmark_spy,12772,0.121433996547267,34.018851304016,0.403413194297326,0.00967169162550707,0.132280412495413,0.0731150700474453,0.528578139680551,0.0847017895865627,0.276048220878193,exclude,static,FALSE,benchmark,1512,1,1,1,0,
linear_minmax,14909,0.148545588747931,43.1614139207804,0.420231258174044,0.00987797863059692,0.181277938467278,0.0544907930557694,0.50593601180495,0.086625685745459,0.427724613948873,close_to_open,year,TRUE,sign,1764,0.511905560399759,1,1,2138,10
linear_minmax,14909,0.111274495798012,43.161526109129,0.31479157490722,0.00313614845182753,0.181278409658342,0.0173001763295379,0.505332349587498,0.0268179657241403,0.344022393786956,close_to_open,static,TRUE,sign,1764,0.509222617211081,1,1,2138,1
linear_minmax,14909,0.104135880610356,50.3299437708487,0.252637727466445,-0.00456573548700312,0.211385763837564,-0.0215990679983141,0.50593601180495,-0.0379387004940059,0.550299166489813,close_to_open,year,FALSE,zscore_2x,1764,0.503990877993159,0.564669304481165,2,2138,10
linear_minmax,14909,0.104766802245078,51.347642387796,0.249130808715492,-0.00488820868673756,0.215660098028743,-0.0226662638634527,0.505332349587498,-0.0405696321607377,0.419282856503142,close_to_open,static,TRUE,zscore_2x,1764,0.509222617211081,0.669925098775987,2,2138,1
linear_minmax,14909,0.0219058629789036,34.1694587768822,0.0782792262639912,-0.00647656032593391,0.143511726862905,-0.0451291366044315,0.505332349587498,-0.0534360178138968,0.284904414016455,close_to_open,static,TRUE,zscore_1x,1764,0.509222617211081,0.572158905288075,1,2138,1
linear_minmax,14909,0.0335969620370443,43.1616564798135,0.0950443187429551,-0.0105104162375514,0.181278957215217,-0.0579792403873624,0.498356697296935,-0.0854308618465646,0.478787067522074,close_to_open,static,FALSE,sign,1764,0.452612515929975,1,1,2138,1
linear_minmax,14909,-0.0964875178519435,33.4938010695883,-0.351747447888612,-0.0266175574882038,0.140673964492271,-0.189214525831226,0.498356697296935,-0.203887595038191,0.361336253284847,close_to_open,static,FALSE,zscore_1x,1764,0.452612515929975,0.551504367379166,1,2138,1
linear_minmax,14909,-0.216233193787528,54.3675870303446,-0.48563117896482,-0.062736738348721,0.228343865527447,-0.274746764945082,0.498356697296935,-0.421665067157033,0.559985279787916,close_to_open,static,FALSE,zscore_2x,1764,0.452612515929975,0.647997501273889,2,2138,1
